# ----------------------------------------
# Facebook Swarm NLP
# Pages
# 20110301-20111108
# ----------------------------------------

Page	Pageviews	Unique Pageviews	Avg. Time on Page	Bounce Rate	% Exit
/users/yemberv	66	59	00:00:48	0.00%	0.00%
/users/100002147271741	65	60	00:05:31	0.00%	12.31%
/users/100002399270876	65	35	00:04:02	0.00%	16.92%
/users/100000414369469	64	46	00:06:30	0.00%	31.25%
/users/100001505244374	64	26	00:03:41	0.00%	23.44%
/users/100002671318093	64	20	00:02:34	0.00%	9.38%
/users/1136989060	64	13	00:00:43	0.00%	4.69%
/users/bayujobec	63	36	00:05:24	0.00%	15.87%
/users/cupcake195	63	44	00:11:39	0.00%	36.51%
/users/100002252777483	63	58	00:06:10	0.00%	26.98%
/users/nickoct	61	46	00:05:43	0.00%	32.79%
/users/100001561906488	61	52	00:01:06	0.00%	0.00%
/users/100002723684790	61	48	00:05:30	0.00%	42.62%
/users/romeo.julio3	60	46	00:01:25	0.00%	3.33%
/users/100001567757145	59	51	00:01:01	0.00%	1.69%
/users/100002310829644	59	46	00:07:56	0.00%	23.73%
/users/100002465494510	59	53	00:01:41	0.00%	38.98%
/users/donnajane.pelonio	58	50	00:04:22	0.00%	5.17%
/users/emai.ikmal	58	37	00:07:39	0.00%	3.45%
/users/100001498447613	58	54	00:08:20	0.00%	32.76%
/users/777419349	58	56	00:00:38	0.00%	0.00%
/users/patria.nostra	57	33	00:05:58	0.00%	35.09%
/users/carla.perezalmendros	56	50	00:18:11	0.00%	55.36%
/users/100001470602666	56	41	00:02:29	0.00%	14.29%
/users/ullysesandmilex	56	39	00:05:09	0.00%	5.36%
/users/wrdab	56	50	00:04:05	0.00%	12.50%
/users/elrockeroalemanlasso	55	34	00:05:48	0.00%	41.82%
/users/tuncay.hasanoglu	55	43	00:12:19	0.00%	30.91%
/users/100001597594742	54	49	00:00:43	0.00%	0.00%
/users/604058747	54	40	00:04:16	0.00%	12.96%
/users/novia.shelvana	54	39	00:01:52	0.00%	3.70%
/users/elian.morenoo3	53	30	00:08:06	0.00%	18.87%
/users/100000177504919	53	44	00:08:44	0.00%	58.49%
/users/yokaa.tota	53	47	00:01:20	0.00%	0.00%
/users/100002279493405	52	44	00:04:27	0.00%	11.54%
/users/XxJuLiETrAnAInTNoWuzZYxX	52	33	00:05:02	0.00%	13.46%
/users/100001420269047	52	38	00:04:32	0.00%	5.77%
/users/yogesh.b.mane	52	49	00:05:34	0.00%	48.08%
/users/fazi12	51	30	00:10:32	0.00%	37.25%
/users/100000086651317	51	37	00:03:16	0.00%	7.84%
/users/100000594137891	51	40	00:14:14	0.00%	31.37%
/users/100000408648011	50	43	00:23:51	0.00%	44.00%
/users/1746330994	50	36	00:03:45	0.00%	32.00%
/users/bank.nbangkok	49	40	00:24:15	0.00%	55.10%
/users/javier.izaguirre3	49	38	00:05:26	0.00%	30.61%
/users/khireldin	49	31	00:10:10	0.00%	20.41%
/users/100000352100941	49	24	00:01:22	0.00%	6.12%
/users/100001840545014	49	20	00:02:59	0.00%	2.04%
/users/100002426867093	49	48	00:03:08	0.00%	10.20%
/users/teesmaar.khan11	49	43	00:01:25	0.00%	2.04%
/users/abofcb	49	22	00:04:27	0.00%	12.24%
/users/CBR150cc	49	46	00:03:53	0.00%	8.16%
/users/100001810718183	49	37	00:07:56	0.00%	55.10%
/users/tArA.kRiShA	49	40	00:05:49	0.00%	14.29%
/users/BuLDo.PoPPiN	48	40	00:11:30	0.00%	35.42%
/users/100001854253825	48	40	00:09:16	0.00%	2.08%
/users/creuzerm	47	41	00:07:28	0.00%	59.57%
/users/100002481055060	47	42	00:04:07	0.00%	6.38%
/users/100002922955977	47	31	00:06:36	0.00%	19.15%
/users/1385505440	47	32	00:01:52	0.00%	23.40%
/users/dane.dane2	46	13	00:05:59	0.00%	15.22%
/users/100002407202678	46	35	00:11:44	0.00%	21.74%
/users/100002671318093	46	10	00:02:42	0.00%	6.52%
/users/1468487929	46	37	00:05:28	0.00%	6.52%
/users/da3inadir	45	41	00:06:03	0.00%	20.00%
/users/prem.biradar	45	36	00:10:33	0.00%	37.78%
/users/100001544637913	45	39	00:06:42	0.00%	20.00%
/users/100001965852182	45	38	00:07:35	0.00%	40.00%
/users/100002396131591	45	42	00:08:37	0.00%	42.22%
/users/ender5454	44	26	00:05:41	0.00%	13.64%
/users/100000770353212	44	13	00:02:36	0.00%	6.82%
/users/100001642771635	44	44	00:00:39	0.00%	0.00%
/users/100002769024001	44	32	00:01:00	0.00%	2.27%
/users/bephhtralala	43	38	00:08:22	0.00%	32.56%
/users/charlytono	43	37	00:04:41	0.00%	39.53%
/users/mjaberk	43	27	00:00:32	0.00%	0.00%
/users/100002946968269	43	38	00:06:14	0.00%	32.56%
/users/sammed007	43	35	00:03:27	0.00%	30.23%
/users/100002101285551	43	40	00:01:45	0.00%	13.95%
/users/bordon.sol	42	36	00:06:54	0.00%	16.67%
/users/lababy.pequena	42	29	00:04:13	0.00%	14.29%
/users/lioneldebera	42	36	00:11:27	0.00%	61.90%
/users/papibonoti	42	22	00:05:37	0.00%	16.67%
/users/petrademark.markovic	42	30	00:07:42	0.00%	16.67%
/users/100001705554201	42	23	00:05:25	0.00%	9.52%
/users/100001713791032	42	38	00:09:12	0.00%	35.71%
/users/100002108047525	42	36	00:03:52	0.00%	9.52%
/users/100002905155061	42	36	00:03:57	0.00%	19.05%
/users/100002978196358	42	24	00:03:34	0.00%	30.95%
/users/karlopastore	41	38	00:05:44	0.00%	36.59%
/users/namcecanana	41	29	00:11:06	0.00%	60.98%
/users/100001614392875	41	28	00:04:10	0.00%	14.63%
/users/tareq.matter	41	31	00:03:14	0.00%	2.44%
/users/yogesh.b.mane	41	32	00:10:48	0.00%	39.02%
/users/100001090338124	40	36	00:05:03	0.00%	7.50%
/users/100000598042503	40	35	00:05:55	0.00%	30.00%
/users/100000924888121	40	30	00:02:39	0.00%	7.50%
/users/linxiwang	39	27	00:03:12	0.00%	10.26%
/users/maribel.diazleyva	39	26	00:04:16	0.00%	25.64%
/users/McSunHu	39	9	00:01:58	0.00%	2.56%
/users/100000049654322	39	32	00:10:11	0.00%	51.28%
/users/100001444620135	39	29	00:01:15	0.00%	0.00%
/users/100001478278259	39	33	00:11:20	0.00%	66.67%
/users/100001913064616	39	30	00:02:01	0.00%	10.26%
/users/100001955703305	39	32	00:04:10	0.00%	53.85%
/users/100002316167252	39	31	00:07:21	0.00%	25.64%
/users/raza.shahzad1	39	28	00:09:44	0.00%	25.64%
/users/joseangel.santillan	38	36	00:08:27	0.00%	18.42%
/users/mirza.sultan.1	38	24	00:02:29	0.00%	18.42%
/users/100001049228508	38	31	00:06:21	0.00%	36.84%
/users/100001626635430	38	32	00:05:34	0.00%	23.68%
/users/100002259399301	38	19	00:05:38	0.00%	31.58%
/users/100002714319230	38	10	00:00:30	0.00%	7.89%
/users/1592434447	38	17	00:01:35	0.00%	2.63%
/users/rung.anusorn	38	28	00:03:28	0.00%	10.53%
/users/yayoustaww.graham2	38	37	00:10:00	0.00%	68.42%
/users/sophie3ap	38	27	00:09:45	0.00%	5.26%
/users/100002331648313	37	35	00:18:55	0.00%	54.05%
/users/100002697955934	37	10	00:02:59	0.00%	5.41%
/users/100001710082553	37	23	00:02:32	0.00%	0.00%
/users/canucan52	36	25	00:03:56	0.00%	25.00%
/users/heartwyn28	36	31	00:05:58	0.00%	13.89%
/users/jelabra	36	34	00:08:40	0.00%	63.89%
/users/noemi.berlaguet	36	32	00:07:14	0.00%	16.67%
/users/100001219565732	36	23	00:08:08	0.00%	16.67%
/users/100001380918653	36	27	00:10:05	0.00%	55.56%
/users/100001729578846	36	12	00:01:12	0.00%	0.00%
/users/100001976227132	36	23	00:04:41	0.00%	16.67%
/users/100002575689453	36	30	00:03:39	0.00%	27.78%
